Date : 2024-01-06 20:50:49
Directory : c:\Development\Projects\builder\frontend\svelte-app\__tests__
Total : 96 files,  -16243 codes, -146 comments, -604 blanks, all -16993 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Development\Projects\builder\frontend\svelte-app\src\stores\builderStore.ts                                                      | TypeScript         |        -20 |         -4 |         -9 |        -33 |
| c:\Development\Projects\builder\frontend\svelte-app\src\stores\clientStore.ts                                                       | TypeScript         |        -21 |         -3 |         -7 |        -31 |
| c:\Development\Projects\builder\frontend\svelte-app\src\stores\globalStore.ts                                                       | TypeScript         |        -40 |         -4 |         -8 |        -52 |
| c:\Development\Projects\builder\frontend\svelte-app\src\stores\messageStore.ts                                                      | TypeScript         |        -24 |         -2 |         -7 |        -33 |
| c:\Development\Projects\builder\frontend\svelte-app\src\stores\modalStore.ts                                                        | TypeScript         |        -21 |         -3 |         -5 |        -29 |
| c:\Development\Projects\builder\frontend\svelte-app\src\stores\proBuilderStore.ts                                                   | TypeScript         |         -4 |         -1 |         -3 |         -8 |
| c:\Development\Projects\builder\frontend\svelte-app\src\stores\programOptionsStore.ts                                               | TypeScript         |         -8 |         -1 |         -2 |        -11 |
| c:\Development\Projects\builder\frontend\svelte-app\src\stores\registrationStore.ts                                                 | TypeScript         |        -32 |          0 |         -6 |        -38 |
| c:\Development\Projects\builder\frontend\svelte-app\src\stores\themeStore.ts                                                        | TypeScript         |         -6 |         -3 |         -3 |        -12 |
| c:\Development\Projects\builder\frontend\svelte-app\src\stores\userStore.ts                                                         | TypeScript         |         -6 |          0 |         -3 |         -9 |
| c:\Development\Projects\builder\frontend\svelte-app\src\styles\main.css                                                             | CSS                |        -51 |         -2 |        -11 |        -64 |
| c:\Development\Projects\builder\frontend\svelte-app\src\tailwind.css                                                                | CSS                |         -3 |          0 |         -1 |         -4 |
| c:\Development\Projects\builder\frontend\svelte-app\src\types\index.ts                                                              | TypeScript         |        -46 |         -1 |         -9 |        -56 |
| c:\Development\Projects\builder\frontend\svelte-app\src\utilities\api.ts                                                            | TypeScript         |        -12 |         -2 |         -3 |        -17 |
| c:\Development\Projects\builder\frontend\svelte-app\src\utilities\clientAPI.ts                                                      | TypeScript         |        -20 |         -1 |         -3 |        -24 |
| c:\Development\Projects\builder\frontend\svelte-app\src\utilities\localStorageUtilities.ts                                          | TypeScript         |         -6 |         -1 |         -2 |         -9 |
| c:\Development\Projects\builder\frontend\svelte-app\src\utilities\modalUtilities.ts                                                 | TypeScript         |        -18 |         -3 |         -4 |        -25 |
| c:\Development\Projects\builder\frontend\svelte-app\src\utilities\programAPI.ts                                                     | TypeScript         |        -11 |         -1 |         -2 |        -14 |
| c:\Development\Projects\builder\frontend\svelte-app\src\utilities\userAPI.ts                                                        | TypeScript         |        -76 |         -1 |         -8 |        -85 |
| c:\Development\Projects\builder\frontend\svelte-app\svelte.config.js                                                                | JavaScript         |         -8 |          0 |         -3 |        -11 |
| c:\Development\Projects\builder\frontend\svelte-app\svelte.d.ts                                                                     | TypeScript         |         -4 |         -1 |          0 |         -5 |
| c:\Development\Projects\builder\frontend\svelte-app\tailwind.config.ts                                                              | TypeScript         |        -51 |         -6 |         -8 |        -65 |
| c:\Development\Projects\builder\frontend\svelte-app\tsconfig.json                                                                   | JSON with Comments |        -12 |          0 |          0 |        -12 |
| Total                                                                                                                               |                    |    -16,243 |       -146 |       -604 |    -16,993 |
+-------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
